Reconnaissance,Resource Development,Initial Access,Execution,Persistence,Privilege Escalation,Defense Evasion,Credential Access,Discovery,Lateral Movement,Collection,Command and Control,Exfiltration,Impact,,,,,,,,,,,,
Active Scanning (3),Acquire Access,Drive-by Compromise,Cloud Administration Command,Account Manipulation (6),Abuse Elevation Control Mechanism (6),Abuse Elevation Control Mechanism (6),Adversary-in-the-Middle (3),Account Discovery (4),Exploitation of Remote Services,Adversary-in-the-Middle (3),Application Layer Protocol (4),Automated Exfiltration (1),Account Access Removal,,,,,,,,,,,,
Scanning IP Blocks,Acquire Infrastructure (8),Exploit Public-Facing Application,Command and Scripting Interpreter (10),Additional Cloud Credentials,Setuid and Setgid,Setuid and Setgid,LLMNR/NBT-NS Poisoning and SMB Relay,Local Account,Internal Spearphishing,LLMNR/NBT-NS Poisoning and SMB Relay,Web Protocols,Traffic Duplication,Data Destruction,,,,,,,,,,,,
Vulnerability Scanning,Domains,External Remote Services,PowerShell,Additional Email Delegate Permissions,Bypass User Account Control,Bypass User Account Control,ARP Cache Poisoning,Domain Account,Lateral Tool Transfer,ARP Cache Poisoning,File Transfer Protocols,Data Transfer Size Limits,Data Encrypted for Impact,,,,,,,,,,,,
Wordlist Scanning,DNS Server,Hardware Additions,AppleScript,Additional Cloud Roles,Sudo and Sudo Caching,Sudo and Sudo Caching,DHCP Spoofing,Email Account,Remote Service Session Hijacking (2),DHCP Spoofing,Mail Protocols,Exfiltration Over Alternative Protocol (3),Data Manipulation (3),,,,,,,,,,,,
Gather Victim Host Information (4),Virtual Private Server,Phishing (4),Windows Command Shell,SSH Authorized Keys,Elevated Execution with Prompt,Elevated Execution with Prompt,Brute Force (4),Cloud Account,SSH Hijacking,Archive Collected Data (3),DNS,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,Stored Data Manipulation,,,,,,,,,,,,
Hardware,Server,Spearphishing Attachment,Unix Shell,Device Registration,Temporary Elevated Cloud Access,Temporary Elevated Cloud Access,Password Guessing,Application Window Discovery,RDP Hijacking,Archive via Utility,Communication Through Removable Media,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,Transmitted Data Manipulation,,,,,,,,,,,,
Software,Botnet,Spearphishing Link,Visual Basic,Additional Container Cluster Roles,TCC Manipulation,TCC Manipulation,Password Cracking,Browser Information Discovery,Remote Services (8),Archive via Library,Content Injection,Exfiltration Over Unencrypted Non-C2 Protocol,Runtime Data Manipulation,,,,,,,,,,,,
Firmware,Web Services,Spearphishing via Service,Python,Boot or Logon Autostart Execution (14),Access Token Manipulation (5),Access Token Manipulation (5),Password Spraying,Cloud Infrastructure Discovery,Remote Desktop Protocol,Archive via Custom Method,Data Encoding (2),Exfiltration Over C2 Channel,Defacement (2),,,,,,,,,,,,
Client Configurations,Serverless,Spearphishing Voice,JavaScript,Registry Run Keys / Startup Folder,Token Impersonation/Theft,Token Impersonation/Theft,Credential Stuffing,Cloud Service Dashboard,SMB/Windows Admin Shares,Audio Capture,Standard Encoding,Exfiltration Over Other Network Medium (1),Internal Defacement,,,,,,,,,,,,
Gather Victim Identity Information (3),Malvertising,Replication Through Removable Media,Network Device CLI,Authentication Package,Create Process with Token,Create Process with Token,Credentials from Password Stores (5),Cloud Service Discovery,Distributed Component Object Model,Automated Collection,Non-Standard Encoding,Exfiltration Over Bluetooth,External Defacement,,,,,,,,,,,,
Credentials,Compromise Accounts (3),Supply Chain Compromise (3),Cloud API,Time Providers,Make and Impersonate Token,Make and Impersonate Token,Keychain,Cloud Storage Object Discovery,SSH,Browser Session Hijacking,Data Obfuscation (3),Exfiltration Over Physical Medium (1),Disk Wipe (2),,,,,,,,,,,,
Email Addresses,Social Media Accounts,Compromise Software Dependencies and Development Tools,AutoHotKey & AutoIT,Winlogon Helper DLL,Parent PID Spoofing,Parent PID Spoofing,Securityd Memory,Container and Resource Discovery,VNC,Clipboard Data,Junk Data,Exfiltration over USB,Disk Content Wipe,,,,,,,,,,,,
Employee Names,Email Accounts,Compromise Software Supply Chain,Container Administration Command,Security Support Provider,SID-History Injection,SID-History Injection,Credentials from Web Browsers,Debugger Evasion,Windows Remote Management,Data from Cloud Storage,Steganography,Exfiltration Over Web Service (4),Disk Structure Wipe,,,,,,,,,,,,
Gather Victim Network Information (6),Cloud Accounts,Compromise Hardware Supply Chain,Deploy Container,Kernel Modules and Extensions,Boot or Logon Autostart Execution (14),BITS Jobs,Windows Credential Manager,Device Driver Discovery,Cloud Services,Data from Configuration Repository (2),Protocol Impersonation,Exfiltration to Code Repository,Endpoint Denial of Service (4),,,,,,,,,,,,
Domain Properties,Compromise Infrastructure (7),Trusted Relationship,Exploitation for Client Execution,Re-opened Applications,Registry Run Keys / Startup Folder,Build Image on Host,Password Managers,Domain Trust Discovery,Direct Cloud VM Connections,SNMP (MIB Dump),Dynamic Resolution (3),Exfiltration to Cloud Storage,OS Exhaustion Flood,,,,,,,,,,,,
DNS,Domains,Valid Accounts (4),Inter-Process Communication (3),LSASS Driver,Authentication Package,Debugger Evasion,Cloud Secrets Management Stores,File and Directory Discovery,Replication Through Removable Media,Network Device Configuration Dump,Fast Flux DNS,Exfiltration to Text Storage Sites,Service Exhaustion Flood,,,,,,,,,,,,
Network Trust Dependencies,DNS Server,Default Accounts,Component Object Model,Shortcut Modification,Time Providers,Deobfuscate/Decode Files or Information,Exploitation for Credential Access,Group Policy Discovery,Software Deployment Tools,Data from Information Repositories (3),Domain Generation Algorithms,Exfiltration Over Webhook,Application Exhaustion Flood,,,,,,,,,,,,
Network Topology,Virtual Private Server,Domain Accounts,Dynamic Data Exchange,Port Monitors,Winlogon Helper DLL,Deploy Container,Forced Authentication,Log Enumeration,Taint Shared Content,Confluence,DNS Calculation,Scheduled Transfer,Application or System Exploitation,,,,,,,,,,,,
IP Addresses,Server,Local Accounts,XPC Services,Print Processors,Security Support Provider,Direct Volume Access,Forge Web Credentials (2),Network Service Discovery,Use Alternate Authentication Material (4),Sharepoint,Encrypted Channel (2),Transfer Data to Cloud Account,Financial Theft,,,,,,,,,,,,
Network Security Appliances,Botnet,Cloud Accounts,Native API,XDG Autostart Entries,Kernel Modules and Extensions,Domain or Tenant Policy Modification (2),Web Cookies,Network Share Discovery,Application Access Token,Code Repositories,Symmetric Cryptography,,Firmware Corruption,,,,,,,,,,,,
Gather Victim Org Information (4),Web Services,,Scheduled Task/Job (5),Active Setup,Re-opened Applications,Group Policy Modification,SAML Tokens,Network Sniffing,Pass the Hash,Data from Local System,Asymmetric Cryptography,,Inhibit System Recovery,,,,,,,,,,,,
Determine Physical Locations,Network Devices,,At,Login Items,LSASS Driver,Trust Modification,Input Capture (4),Password Policy Discovery,Pass the Ticket,Data from Network Shared Drive,Fallback Channels,,Network Denial of Service (2),,,,,,,,,,,,
Business Relationships,Serverless,,Cron,Boot or Logon Initialization Scripts (5),Shortcut Modification,Execution Guardrails (1),Keylogging,Peripheral Device Discovery,Web Session Cookie,Data from Removable Media,Hide Infrastructure,,Direct Network Flood,,,,,,,,,,,,
Identify Business Tempo,Develop Capabilities (4),,Scheduled Task,Logon Script (Windows),Port Monitors,Environmental Keying,GUI Input Capture,Permission Groups Discovery (3),,Data Staged (2),Ingress Tool Transfer,,Reflection Amplification,,,,,,,,,,,,
Identify Roles,Malware,,Systemd Timers,Login Hook,Print Processors,Exploitation for Defense Evasion,Web Portal Capture,Local Groups,,Local Data Staging,Multi-Stage Channels,,Resource Hijacking,,,,,,,,,,,,
Phishing for Information (4),Code Signing Certificates,,Container Orchestration Job,Network Logon Script,XDG Autostart Entries,File and Directory Permissions Modification (2),Credential API Hooking,Domain Groups,,Remote Data Staging,Non-Application Layer Protocol,,Service Stop,,,,,,,,,,,,
Spearphishing Service,Digital Certificates,,Serverless Execution,RC Scripts,Active Setup,Windows File and Directory Permissions Modification,Modify Authentication Process (9),Cloud Groups,,Email Collection (3),Non-Standard Port,,System Shutdown/Reboot,,,,,,,,,,,,
Spearphishing Attachment,Exploits,,Shared Modules,Startup Items,Login Items,Linux and Mac File and Directory Permissions Modification,Domain Controller Authentication,Process Discovery,,Local Email Collection,Protocol Tunneling,,,,,,,,,,,,,,
Spearphishing Link,Establish Accounts (3),,Software Deployment Tools,Browser Extensions,Boot or Logon Initialization Scripts (5),Hide Artifacts (12),Password Filter DLL,Query Registry,,Remote Email Collection,Proxy (4),,,,,,,,,,,,,,
Spearphishing Voice,Social Media Accounts,,System Services (2),Compromise Host Software Binary,Logon Script (Windows),Hidden Files and Directories,Pluggable Authentication Modules,Remote System Discovery,,Email Forwarding Rule,Internal Proxy,,,,,,,,,,,,,,
Search Closed Sources (2),Email Accounts,,Launchctl,Create Account (3),Login Hook,Hidden Users,Network Device Authentication,Software Discovery (1),,Input Capture (4),External Proxy,,,,,,,,,,,,,,
Threat Intel Vendors,Cloud Accounts,,Service Execution,Local Account,Network Logon Script,Hidden Window,Reversible Encryption,Security Software Discovery,,Keylogging,Multi-hop Proxy,,,,,,,,,,,,,,
Purchase Technical Data,Obtain Capabilities (7),,User Execution (3),Domain Account,RC Scripts,NTFS File Attributes,Multi-Factor Authentication,System Information Discovery,,GUI Input Capture,Domain Fronting,,,,,,,,,,,,,,
Search Open Technical Databases (5),Malware,,Malicious Link,Cloud Account,Startup Items,Hidden File System,Hybrid Identity,System Location Discovery (1),,Web Portal Capture,Remote Access Software,,,,,,,,,,,,,,
DNS/Passive DNS,Tool,,Malicious File,Create or Modify System Process (5),Create or Modify System Process (5),Run Virtual Instance,Network Provider DLL,System Language Discovery,,Credential API Hooking,Traffic Signaling (2),,,,,,,,,,,,,,
WHOIS,Code Signing Certificates,,Malicious Image,Launch Agent,Launch Agent,VBA Stomping,Conditional Access Policies,System Network Configuration Discovery (2),,Screen Capture,Port Knocking,,,,,,,,,,,,,,
Digital Certificates,Digital Certificates,,Windows Management Instrumentation,Systemd Service,Systemd Service,Email Hiding Rules,Multi-Factor Authentication Interception,Internet Connection Discovery,,Video Capture,Socket Filters,,,,,,,,,,,,,,
CDNs,Exploits,,,Windows Service,Windows Service,Resource Forking,Multi-Factor Authentication Request Generation,Wi-Fi Discovery,,,Web Service (3),,,,,,,,,,,,,,
Scan Databases,Vulnerabilities,,,Launch Daemon,Launch Daemon,Process Argument Spoofing,Network Sniffing,System Owner/User Discovery,,,Dead Drop Resolver,,,,,,,,,,,,,,
Search Open Websites/Domains (3),Artificial Intelligence,,,Container Service,Container Service,Ignore Process Interrupts,OS Credential Dumping (8),System Service Discovery,,,Bidirectional Communication,,,,,,,,,,,,,,
Social Media,Stage Capabilities (6),,,Event Triggered Execution (16),Domain or Tenant Policy Modification (2),File/Path Exclusions,LSASS Memory,System Time Discovery,,,One-Way Communication,,,,,,,,,,,,,,
Search Engines,Upload Malware,,,Change Default File Association,Group Policy Modification,Hijack Execution Flow (13),Security Account Manager,Virtualization/Sandbox Evasion (3),,,,,,,,,,,,,,,,,
Code Repositories,Upload Tool,,,Screensaver,Trust Modification,DLL Search Order Hijacking,NTDS,System Checks,,,,,,,,,,,,,,,,,
Search Victim-Owned Websites,Install Digital Certificate,,,Windows Management Instrumentation Event Subscription,Escape to Host,DLL Side-Loading,LSA Secrets,User Activity Based Checks,,,,,,,,,,,,,,,,,
,Drive-by Target,,,Unix Shell Configuration Modification,Event Triggered Execution (16),Dylib Hijacking,Cached Domain Credentials,Time Based Evasion,,,,,,,,,,,,,,,,,
,Link Target,,,Trap,Change Default File Association,Executable Installer File Permissions Weakness,DCSync,,,,,,,,,,,,,,,,,,
,SEO Poisoning,,,LC_LOAD_DYLIB Addition,Screensaver,Dynamic Linker Hijacking,Proc Filesystem,,,,,,,,,,,,,,,,,,
,,,,Netsh Helper DLL,Windows Management Instrumentation Event Subscription,Path Interception by PATH Environment Variable,/etc/passwd and /etc/shadow,,,,,,,,,,,,,,,,,,
,,,,Accessibility Features,Unix Shell Configuration Modification,Path Interception by Search Order Hijacking,Steal Application Access Token,,,,,,,,,,,,,,,,,,
,,,,AppCert DLLs,Trap,Path Interception by Unquoted Path,Steal or Forge Authentication Certificates,,,,,,,,,,,,,,,,,,
,,,,AppInit DLLs,LC_LOAD_DYLIB Addition,Services File Permissions Weakness,Steal or Forge Kerberos Tickets (4),,,,,,,,,,,,,,,,,,
,,,,Application Shimming,Netsh Helper DLL,Services Registry Permissions Weakness,Golden Ticket,,,,,,,,,,,,,,,,,,
,,,,Image File Execution Options Injection,Accessibility Features,COR_PROFILER,Silver Ticket,,,,,,,,,,,,,,,,,,
